station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MUE;01.04.1966 00:00;0;;
MUE;02.04.1966 00:00;0;;
MUE;03.04.1966 00:00;1.1;;
MUE;04.04.1966 00:00;0;;
MUE;05.04.1966 00:00;0;;
MUE;06.04.1966 00:00;0;;
MUE;07.04.1966 00:00;0.6;;
MUE;08.04.1966 00:00;1;;
MUE;09.04.1966 00:00;9.5;;
MUE;10.04.1966 00:00;0.1;;
MUE;11.04.1966 00:00;1.2;;
MUE;12.04.1966 00:00;0;;
MUE;13.04.1966 00:00;0.7;;
MUE;14.04.1966 00:00;5.9;;
MUE;15.04.1966 00:00;0.4;;
MUE;16.04.1966 00:00;3.3;;
MUE;17.04.1966 00:00;0;;
MUE;18.04.1966 00:00;0;;
MUE;19.04.1966 00:00;10;;
MUE;20.04.1966 00:00;30.1;;
MUE;21.04.1966 00:00;9.4;;
MUE;22.04.1966 00:00;0;;
MUE;23.04.1966 00:00;0;;
MUE;24.04.1966 00:00;17.1;;
MUE;25.04.1966 00:00;10.3;;
MUE;26.04.1966 00:00;0;;
MUE;27.04.1966 00:00;0.4;;
MUE;28.04.1966 00:00;4.1;;
MUE;29.04.1966 00:00;0;;
MUE;30.04.1966 00:00;0;;
MUE;01.05.1966 00:00;0;;
MUE;02.05.1966 00:00;0;;
MUE;03.05.1966 00:00;0;;
MUE;04.05.1966 00:00;0;;
MUE;05.05.1966 00:00;2.8;;
MUE;06.05.1966 00:00;30.5;;
MUE;07.05.1966 00:00;10.9;;
MUE;08.05.1966 00:00;0.9;;
MUE;09.05.1966 00:00;10.1;;
MUE;10.05.1966 00:00;3.6;;
MUE;11.05.1966 00:00;0;;
MUE;12.05.1966 00:00;0;;
MUE;13.05.1966 00:00;0;;
MUE;14.05.1966 00:00;0;;
MUE;15.05.1966 00:00;0;;
MUE;16.05.1966 00:00;0.8;;
MUE;17.05.1966 00:00;1;;
MUE;18.05.1966 00:00;18.1;;
MUE;19.05.1966 00:00;2.7;;
MUE;20.05.1966 00:00;1.9;;
MUE;21.05.1966 00:00;0.4;;
MUE;22.05.1966 00:00;0.1;;
MUE;23.05.1966 00:00;14;;
MUE;24.05.1966 00:00;0;;
MUE;25.05.1966 00:00;4.1;;
MUE;26.05.1966 00:00;0.4;;
MUE;27.05.1966 00:00;2.4;;
MUE;28.05.1966 00:00;0;;
MUE;29.05.1966 00:00;0.1;;
MUE;30.05.1966 00:00;0;;
MUE;31.05.1966 00:00;1.9;;
MUE;01.06.1966 00:00;0.1;;
MUE;02.06.1966 00:00;0;;
MUE;03.06.1966 00:00;0;;
MUE;04.06.1966 00:00;0.1;;
MUE;05.06.1966 00:00;2.9;;
MUE;06.06.1966 00:00;0;;
MUE;07.06.1966 00:00;0;;
MUE;08.06.1966 00:00;0.1;;
MUE;09.06.1966 00:00;0;;
MUE;10.06.1966 00:00;0;;
MUE;11.06.1966 00:00;0;;
MUE;12.06.1966 00:00;0;;
MUE;13.06.1966 00:00;7.2;;
MUE;14.06.1966 00:00;7.1;;
MUE;15.06.1966 00:00;1.1;;
MUE;16.06.1966 00:00;0;;
MUE;17.06.1966 00:00;3.9;;
MUE;18.06.1966 00:00;25.2;;
MUE;19.06.1966 00:00;8.4;;
MUE;20.06.1966 00:00;3.6;;
MUE;21.06.1966 00:00;0;;
MUE;22.06.1966 00:00;0;;
MUE;23.06.1966 00:00;14.5;;
MUE;24.06.1966 00:00;11.5;;
MUE;25.06.1966 00:00;0;;
MUE;26.06.1966 00:00;9;;
MUE;27.06.1966 00:00;1.1;;
MUE;28.06.1966 00:00;13.7;;
MUE;29.06.1966 00:00;4.9;;
MUE;30.06.1966 00:00;0;;
MUE;01.07.1966 00:00;0;;
MUE;02.07.1966 00:00;0;;
MUE;03.07.1966 00:00;11.9;;
MUE;04.07.1966 00:00;0;;
MUE;05.07.1966 00:00;13.4;;
MUE;06.07.1966 00:00;21.8;;
MUE;07.07.1966 00:00;8.5;;
MUE;08.07.1966 00:00;0.6;;
MUE;09.07.1966 00:00;0;;
MUE;10.07.1966 00:00;0;;
MUE;11.07.1966 00:00;5.7;;
MUE;12.07.1966 00:00;0;;
MUE;13.07.1966 00:00;0;;
MUE;14.07.1966 00:00;20.1;;
MUE;15.07.1966 00:00;0;;
MUE;16.07.1966 00:00;3.9;;
MUE;17.07.1966 00:00;32.3;;
MUE;18.07.1966 00:00;14.3;;
MUE;19.07.1966 00:00;5.7;;
MUE;20.07.1966 00:00;0.3;;
MUE;21.07.1966 00:00;2.1;;
MUE;22.07.1966 00:00;1.4;;
MUE;23.07.1966 00:00;0.3;;
MUE;24.07.1966 00:00;0.1;;
MUE;25.07.1966 00:00;2.6;;
MUE;26.07.1966 00:00;0;;
MUE;27.07.1966 00:00;17;;
MUE;28.07.1966 00:00;2.3;;
MUE;29.07.1966 00:00;0;;
MUE;30.07.1966 00:00;0;;
MUE;31.07.1966 00:00;0;;
MUE;01.08.1966 00:00;0;;
MUE;02.08.1966 00:00;10.6;;
MUE;03.08.1966 00:00;8.3;;
MUE;04.08.1966 00:00;12.1;;
MUE;05.08.1966 00:00;1.8;;
MUE;06.08.1966 00:00;0;;
MUE;07.08.1966 00:00;1;;
MUE;08.08.1966 00:00;23.1;;
MUE;09.08.1966 00:00;0;;
MUE;10.08.1966 00:00;0;;
MUE;11.08.1966 00:00;0;;
MUE;12.08.1966 00:00;0;;
MUE;13.08.1966 00:00;0;;
MUE;14.08.1966 00:00;0;;
MUE;15.08.1966 00:00;34.1;;
MUE;16.08.1966 00:00;8.6;;
MUE;17.08.1966 00:00;0.4;;
MUE;18.08.1966 00:00;1.2;;
MUE;19.08.1966 00:00;0.5;;
MUE;20.08.1966 00:00;1.4;;
MUE;21.08.1966 00:00;15;;
MUE;22.08.1966 00:00;6.1;;
MUE;23.08.1966 00:00;0.6;;
MUE;24.08.1966 00:00;19.1;;
MUE;25.08.1966 00:00;5.5;;
MUE;26.08.1966 00:00;0;;
MUE;27.08.1966 00:00;0;;
MUE;28.08.1966 00:00;0.9;;
MUE;29.08.1966 00:00;5.7;;
MUE;30.08.1966 00:00;24.4;;
MUE;31.08.1966 00:00;6.6;;
MUE;01.09.1966 00:00;0.4;;
MUE;02.09.1966 00:00;2.1;;
MUE;03.09.1966 00:00;0.5;;
MUE;04.09.1966 00:00;0.5;;
MUE;05.09.1966 00:00;0.9;;
MUE;06.09.1966 00:00;0;;
MUE;07.09.1966 00:00;0;;
MUE;08.09.1966 00:00;0;;
MUE;09.09.1966 00:00;0;;
MUE;10.09.1966 00:00;0;;
MUE;11.09.1966 00:00;0;;
MUE;12.09.1966 00:00;1.8;;
MUE;13.09.1966 00:00;10.6;;
MUE;14.09.1966 00:00;0;;
MUE;15.09.1966 00:00;15.6;;
MUE;16.09.1966 00:00;8.3;;
MUE;17.09.1966 00:00;0.6;;
MUE;18.09.1966 00:00;0.2;;
MUE;19.09.1966 00:00;0.1;;
MUE;20.09.1966 00:00;0;;
MUE;21.09.1966 00:00;0;;
MUE;22.09.1966 00:00;0;;
MUE;23.09.1966 00:00;0;;
MUE;24.09.1966 00:00;0;;
MUE;25.09.1966 00:00;0;;
MUE;26.09.1966 00:00;0;;
MUE;27.09.1966 00:00;0;;
MUE;28.09.1966 00:00;0;;
MUE;29.09.1966 00:00;0.8;;
MUE;30.09.1966 00:00;5.5;;
MUE;01.10.1966 00:00;2.1;;
MUE;02.10.1966 00:00;0;;
MUE;03.10.1966 00:00;0;;
MUE;04.10.1966 00:00;0;;
MUE;05.10.1966 00:00;0;;
MUE;06.10.1966 00:00;0;;
MUE;07.10.1966 00:00;0;;
MUE;08.10.1966 00:00;0;;
MUE;09.10.1966 00:00;0;;
MUE;10.10.1966 00:00;0.6;;
MUE;11.10.1966 00:00;0.9;;
MUE;12.10.1966 00:00;9.2;;
MUE;13.10.1966 00:00;0;;
MUE;14.10.1966 00:00;0;;
MUE;15.10.1966 00:00;9.4;;
MUE;16.10.1966 00:00;2.7;;
MUE;17.10.1966 00:00;0;;
MUE;18.10.1966 00:00;0;;
MUE;19.10.1966 00:00;17.2;;
MUE;20.10.1966 00:00;0;;
MUE;21.10.1966 00:00;0;;
MUE;22.10.1966 00:00;0.1;;
MUE;23.10.1966 00:00;0;;
MUE;24.10.1966 00:00;1.8;;
MUE;25.10.1966 00:00;0.6;;
MUE;26.10.1966 00:00;41.7;;
MUE;27.10.1966 00:00;5.6;;
MUE;28.10.1966 00:00;13.4;;
MUE;29.10.1966 00:00;10.2;;
MUE;30.10.1966 00:00;1.2;;
MUE;31.10.1966 00:00;0.1;;
MUE;01.11.1966 00:00;0;;28
MUE;02.11.1966 00:00;0;;26
MUE;03.11.1966 00:00;11.9;;25
MUE;04.11.1966 00:00;21.8;;35
MUE;05.11.1966 00:00;0;;57
MUE;06.11.1966 00:00;0;;39
MUE;07.11.1966 00:00;0;;21
MUE;08.11.1966 00:00;0;;10
MUE;09.11.1966 00:00;0;;0
MUE;10.11.1966 00:00;2.1;;0
MUE;11.11.1966 00:00;1.7;;2
MUE;12.11.1966 00:00;0;;3
MUE;13.11.1966 00:00;0;;0
MUE;14.11.1966 00:00;12.8;;0
MUE;15.11.1966 00:00;7.6;;25
MUE;16.11.1966 00:00;12.3;;30
MUE;17.11.1966 00:00;7.5;;43
MUE;18.11.1966 00:00;2.1;;50
MUE;19.11.1966 00:00;0;;45
MUE;20.11.1966 00:00;0;;40
MUE;21.11.1966 00:00;0;;32
MUE;22.11.1966 00:00;0;;30
MUE;23.11.1966 00:00;5.3;;28
MUE;24.11.1966 00:00;6.5;;32
MUE;25.11.1966 00:00;0;;38
MUE;26.11.1966 00:00;0;;35
MUE;27.11.1966 00:00;0;;30
MUE;28.11.1966 00:00;11.2;;30
MUE;29.11.1966 00:00;5.8;;45
MUE;30.11.1966 00:00;5.1;;45
MUE;01.12.1966 00:00;0;;38
MUE;02.12.1966 00:00;26;;35
MUE;03.12.1966 00:00;7.6;;75
MUE;04.12.1966 00:00;4.9;;75
MUE;05.12.1966 00:00;0;;70
MUE;06.12.1966 00:00;0;;65
MUE;07.12.1966 00:00;0;;60
MUE;08.12.1966 00:00;0.2;;45
MUE;09.12.1966 00:00;1.8;;55
MUE;10.12.1966 00:00;9.4;;55
MUE;11.12.1966 00:00;6.5;;70
MUE;12.12.1966 00:00;6.4;;67
MUE;13.12.1966 00:00;16.2;;70
MUE;14.12.1966 00:00;3;;65
MUE;15.12.1966 00:00;3.2;;78
MUE;16.12.1966 00:00;0;;58
MUE;17.12.1966 00:00;0;;57
MUE;18.12.1966 00:00;0;;53
MUE;19.12.1966 00:00;0;;49
MUE;20.12.1966 00:00;10.3;;48
MUE;21.12.1966 00:00;3.9;;75
MUE;22.12.1966 00:00;14.4;;84
MUE;23.12.1966 00:00;6.8;;94
MUE;24.12.1966 00:00;1.8;;89
MUE;25.12.1966 00:00;5.8;;94
MUE;26.12.1966 00:00;0;;96
MUE;27.12.1966 00:00;3.8;;93
MUE;28.12.1966 00:00;4.4;;93
MUE;29.12.1966 00:00;7.6;;99
MUE;30.12.1966 00:00;2.4;;89
MUE;31.12.1966 00:00;2.6;5;84
MUE;01.01.1967 00:00;1.1;2;83
MUE;02.01.1967 00:00;35.3;42;86
MUE;03.01.1967 00:00;1;2;110
MUE;04.01.1967 00:00;0;0;100
MUE;05.01.1967 00:00;0;0;96
MUE;06.01.1967 00:00;3.8;5;94
MUE;07.01.1967 00:00;0;0;93
MUE;08.01.1967 00:00;0;0;92
MUE;09.01.1967 00:00;0;0;90
MUE;10.01.1967 00:00;0;0;88
MUE;11.01.1967 00:00;0;0;86
MUE;12.01.1967 00:00;1.2;3;84
MUE;13.01.1967 00:00;0;0;84
MUE;14.01.1967 00:00;1.2;2;83
MUE;15.01.1967 00:00;0;0;83
MUE;16.01.1967 00:00;0;0;81
MUE;17.01.1967 00:00;0;0;80
MUE;18.01.1967 00:00;0;0;78
MUE;19.01.1967 00:00;0;0;78
MUE;20.01.1967 00:00;0;0;77
MUE;21.01.1967 00:00;0;0;75
MUE;22.01.1967 00:00;5.9;9;74
MUE;23.01.1967 00:00;4.2;8;80
MUE;24.01.1967 00:00;6.7;9;86
MUE;25.01.1967 00:00;1;2;94
MUE;26.01.1967 00:00;8.3;4;94
MUE;27.01.1967 00:00;0;0;92
MUE;28.01.1967 00:00;0;0;86
MUE;29.01.1967 00:00;0;0;85
MUE;30.01.1967 00:00;0;0;84
MUE;31.01.1967 00:00;0;0;82
MUE;01.02.1967 00:00;0;0;81
MUE;02.02.1967 00:00;0;0;80
MUE;03.02.1967 00:00;0;0;78
MUE;04.02.1967 00:00;3.2;4;78
MUE;05.02.1967 00:00;0;0;80
MUE;06.02.1967 00:00;0;0;79
MUE;07.02.1967 00:00;0;0;77
MUE;08.02.1967 00:00;0;0;76
MUE;09.02.1967 00:00;0;0;76
MUE;10.02.1967 00:00;0;0;76
MUE;11.02.1967 00:00;0;0;76
MUE;12.02.1967 00:00;0;0;76
MUE;13.02.1967 00:00;0;0;76
MUE;14.02.1967 00:00;0;0;76
MUE;15.02.1967 00:00;0;0;76
MUE;16.02.1967 00:00;0;0;76
MUE;17.02.1967 00:00;0;0;75
MUE;18.02.1967 00:00;3.3;3;75
MUE;19.02.1967 00:00;11.8;11;77
MUE;20.02.1967 00:00;44;0;82
MUE;21.02.1967 00:00;5.6;0;78
MUE;22.02.1967 00:00;0;0;75
MUE;23.02.1967 00:00;4;5;70
MUE;24.02.1967 00:00;0;0;73
MUE;25.02.1967 00:00;0;0;68
MUE;26.02.1967 00:00;0;0;67
MUE;27.02.1967 00:00;20.2;4;67
MUE;28.02.1967 00:00;3.8;0;70
MUE;01.03.1967 00:00;13.8;7;70
MUE;02.03.1967 00:00;0;0;75
MUE;03.03.1967 00:00;0;0;73
MUE;04.03.1967 00:00;0;0;70
MUE;05.03.1967 00:00;1.3;0;67
MUE;06.03.1967 00:00;0;0;65
MUE;07.03.1967 00:00;0;0;60
MUE;08.03.1967 00:00;0;0;55
MUE;09.03.1967 00:00;0;0;50
MUE;10.03.1967 00:00;3.2;0;45
MUE;11.03.1967 00:00;6;4;40
MUE;12.03.1967 00:00;1.3;1;40
MUE;13.03.1967 00:00;19.7;32;41
MUE;14.03.1967 00:00;1.7;2;70
MUE;15.03.1967 00:00;0;0;67
MUE;16.03.1967 00:00;13.6;17;63
MUE;17.03.1967 00:00;4;7;75
MUE;18.03.1967 00:00;28.1;34;80
MUE;19.03.1967 00:00;12.6;15;102
MUE;20.03.1967 00:00;81.3;95;116
MUE;21.03.1967 00:00;0;0;175
MUE;22.03.1967 00:00;0;0;118
MUE;23.03.1967 00:00;2.6;5;95
MUE;24.03.1967 00:00;0;0;100
MUE;25.03.1967 00:00;0;0;90
MUE;26.03.1967 00:00;3.4;6;85
MUE;27.03.1967 00:00;6.2;8;90
MUE;28.03.1967 00:00;5.3;6;91
MUE;29.03.1967 00:00;1.1;3;92
MUE;30.03.1967 00:00;2.8;6;88
MUE;31.03.1967 00:00;14.1;19;92
MUE;01.04.1967 00:00;2.5;4;110
MUE;02.04.1967 00:00;0.3;1;112
MUE;03.04.1967 00:00;17.2;15;110
MUE;04.04.1967 00:00;2.7;3;108
MUE;05.04.1967 00:00;0;0;105
MUE;06.04.1967 00:00;6;12;93
MUE;07.04.1967 00:00;4.2;4;100
MUE;08.04.1967 00:00;0;0;100
MUE;09.04.1967 00:00;2.2;1;92
MUE;10.04.1967 00:00;2;1;92
MUE;11.04.1967 00:00;0;0;90
MUE;12.04.1967 00:00;0;0;88
MUE;13.04.1967 00:00;0;0;85
MUE;14.04.1967 00:00;0;0;80
MUE;15.04.1967 00:00;0;0;79
MUE;16.04.1967 00:00;0;0;77
MUE;17.04.1967 00:00;0;0;70
MUE;18.04.1967 00:00;0;0;65
MUE;19.04.1967 00:00;0;0;62
MUE;20.04.1967 00:00;0;0;55
MUE;21.04.1967 00:00;17.8;26;50
MUE;22.04.1967 00:00;2;3;74
MUE;23.04.1967 00:00;22.2;26;65
MUE;24.04.1967 00:00;2.4;4;75
MUE;25.04.1967 00:00;0;0;77
MUE;26.04.1967 00:00;0;0;68
MUE;27.04.1967 00:00;1.8;1;62
MUE;28.04.1967 00:00;0;0;62
MUE;29.04.1967 00:00;0;0;58
MUE;30.04.1967 00:00;0;0;54
MUE;01.05.1967 00:00;2.3;0;48
MUE;02.05.1967 00:00;18.9;18;45
MUE;03.05.1967 00:00;8.9;12;58
MUE;04.05.1967 00:00;0;0;65
MUE;05.05.1967 00:00;0;0;54
MUE;06.05.1967 00:00;0;0;42
MUE;07.05.1967 00:00;0;0;40
MUE;08.05.1967 00:00;0;0;35
MUE;09.05.1967 00:00;0;0;27
MUE;10.05.1967 00:00;0;0;0
MUE;11.05.1967 00:00;0;0;0
MUE;12.05.1967 00:00;0;0;0
MUE;13.05.1967 00:00;0;0;0
MUE;14.05.1967 00:00;1.1;0;0
MUE;15.05.1967 00:00;2.1;0;0
MUE;16.05.1967 00:00;4.2;0;0
MUE;17.05.1967 00:00;18.4;0;0
MUE;18.05.1967 00:00;8.6;0;0
MUE;19.05.1967 00:00;0;0;0
MUE;20.05.1967 00:00;3.8;0;0
MUE;21.05.1967 00:00;0;0;0
MUE;22.05.1967 00:00;18.4;5;0
MUE;23.05.1967 00:00;16.5;0;5
MUE;24.05.1967 00:00;4.7;0;1
MUE;25.05.1967 00:00;6;0;0
MUE;26.05.1967 00:00;0;0;0
MUE;27.05.1967 00:00;0;0;0
MUE;28.05.1967 00:00;2.1;0;0
MUE;29.05.1967 00:00;8;0;0
MUE;30.05.1967 00:00;31.2;7;0
MUE;31.05.1967 00:00;20;0;7
MUE;01.06.1967 00:00;0;0;2
MUE;02.06.1967 00:00;0;0;1
MUE;03.06.1967 00:00;0;0;0
MUE;04.06.1967 00:00;0;0;0
MUE;05.06.1967 00:00;0;0;0
MUE;06.06.1967 00:00;4;0;0
MUE;07.06.1967 00:00;7.3;0;0
MUE;08.06.1967 00:00;31.8;0;0
MUE;09.06.1967 00:00;3.6;0;0
MUE;10.06.1967 00:00;2.8;0;0
MUE;11.06.1967 00:00;4.7;0;0
MUE;12.06.1967 00:00;3.8;0;0
MUE;13.06.1967 00:00;0;0;0
MUE;14.06.1967 00:00;7.7;0;0
MUE;15.06.1967 00:00;14.4;0;0
MUE;16.06.1967 00:00;0;0;0
MUE;17.06.1967 00:00;0;0;0
MUE;18.06.1967 00:00;7.7;0;0
MUE;19.06.1967 00:00;8.9;0;0
MUE;20.06.1967 00:00;2.2;0;0
MUE;21.06.1967 00:00;0;0;0
MUE;22.06.1967 00:00;0;0;0
MUE;23.06.1967 00:00;0;0;0
MUE;24.06.1967 00:00;0;0;0
MUE;25.06.1967 00:00;0.3;0;0
MUE;26.06.1967 00:00;3.1;0;0
MUE;27.06.1967 00:00;6.4;0;0
MUE;28.06.1967 00:00;0;0;0
MUE;29.06.1967 00:00;0;0;0
MUE;30.06.1967 00:00;0;0;0
MUE;01.07.1967 00:00;0;0;0
MUE;02.07.1967 00:00;2.6;0;0
MUE;03.07.1967 00:00;14.3;0;0
MUE;04.07.1967 00:00;0;0;0
MUE;05.07.1967 00:00;0;0;0
MUE;06.07.1967 00:00;2.1;0;0
MUE;07.07.1967 00:00;14;0;0
MUE;08.07.1967 00:00;17.8;0;0
MUE;09.07.1967 00:00;0;0;0
MUE;10.07.1967 00:00;0;0;0
MUE;11.07.1967 00:00;0;0;0
MUE;12.07.1967 00:00;0;0;0
MUE;13.07.1967 00:00;0;0;0
MUE;14.07.1967 00:00;1.2;0;0
MUE;15.07.1967 00:00;5;0;0
MUE;16.07.1967 00:00;0;0;0
MUE;17.07.1967 00:00;0;0;0
MUE;18.07.1967 00:00;0;0;0
MUE;19.07.1967 00:00;0;0;0
MUE;20.07.1967 00:00;0;0;0
MUE;21.07.1967 00:00;0;0;0
MUE;22.07.1967 00:00;3.3;0;0
MUE;23.07.1967 00:00;4.3;0;0
MUE;24.07.1967 00:00;6.2;0;0
MUE;25.07.1967 00:00;12.3;0;0
MUE;26.07.1967 00:00;0;0;0
MUE;27.07.1967 00:00;0;0;0
MUE;28.07.1967 00:00;0;0;0
MUE;29.07.1967 00:00;1.2;0;0
MUE;30.07.1967 00:00;0;0;0
MUE;31.07.1967 00:00;8.1;0;0
MUE;01.08.1967 00:00;0;0;0
MUE;02.08.1967 00:00;18.3;0;0
MUE;03.08.1967 00:00;14.3;0;0
MUE;04.08.1967 00:00;10.4;0;0
MUE;05.08.1967 00:00;4.3;0;0
MUE;06.08.1967 00:00;0;0;0
MUE;07.08.1967 00:00;0;0;0
MUE;08.08.1967 00:00;0;0;0
MUE;09.08.1967 00:00;7;0;0
MUE;10.08.1967 00:00;12.9;0;0
MUE;11.08.1967 00:00;0;0;0
MUE;12.08.1967 00:00;4.2;0;0
MUE;13.08.1967 00:00;0.9;0;0
MUE;14.08.1967 00:00;8.1;0;0
MUE;15.08.1967 00:00;0;0;0
MUE;16.08.1967 00:00;18.5;0;0
MUE;17.08.1967 00:00;2;0;0
MUE;18.08.1967 00:00;0;0;0
MUE;19.08.1967 00:00;7.1;0;0
MUE;20.08.1967 00:00;0;0;0
MUE;21.08.1967 00:00;0;0;0
MUE;22.08.1967 00:00;0;0;0
MUE;23.08.1967 00:00;11.2;0;0
MUE;24.08.1967 00:00;6.1;0;0
MUE;25.08.1967 00:00;0;0;0
MUE;26.08.1967 00:00;1;0;0
MUE;27.08.1967 00:00;0;0;0
MUE;28.08.1967 00:00;0;0;0
MUE;29.08.1967 00:00;0;0;0
MUE;30.08.1967 00:00;9.7;0;0
MUE;31.08.1967 00:00;0;0;0
MUE;01.09.1967 00:00;14.9;0;0
MUE;02.09.1967 00:00;0;0;0
MUE;03.09.1967 00:00;2.1;0;0
MUE;04.09.1967 00:00;28.1;0;0
MUE;05.09.1967 00:00;0;0;0
MUE;06.09.1967 00:00;8.2;0;0
MUE;07.09.1967 00:00;8.3;0;0
MUE;08.09.1967 00:00;8.8;0;0
MUE;09.09.1967 00:00;17.6;0;0
MUE;10.09.1967 00:00;18.9;0;0
MUE;11.09.1967 00:00;1.6;0;0
MUE;12.09.1967 00:00;0;0;0
MUE;13.09.1967 00:00;4.2;0;0
MUE;14.09.1967 00:00;5;0;0
MUE;15.09.1967 00:00;16.4;0;0
MUE;16.09.1967 00:00;3;0;0
MUE;17.09.1967 00:00;0;0;0
MUE;18.09.1967 00:00;0;0;0
MUE;19.09.1967 00:00;4.2;0;0
MUE;20.09.1967 00:00;0.3;0;0
MUE;21.09.1967 00:00;3.2;0;0
MUE;22.09.1967 00:00;0.4;0;0
MUE;23.09.1967 00:00;0;0;0
MUE;24.09.1967 00:00;0;0;0
MUE;25.09.1967 00:00;0;0;0
MUE;26.09.1967 00:00;0;0;0
MUE;27.09.1967 00:00;0;0;0
MUE;28.09.1967 00:00;0;0;0
MUE;29.09.1967 00:00;0;0;0
MUE;30.09.1967 00:00;2.2;0;0
MUE;01.10.1967 00:00;0;0;0
MUE;02.10.1967 00:00;7.4;0;0
MUE;03.10.1967 00:00;0;0;0
MUE;04.10.1967 00:00;8;0;0
MUE;05.10.1967 00:00;0;0;0
MUE;06.10.1967 00:00;5.5;0;0
MUE;07.10.1967 00:00;0;0;0
MUE;08.10.1967 00:00;0;0;0
MUE;09.10.1967 00:00;0;0;0
MUE;10.10.1967 00:00;0;0;0
MUE;11.10.1967 00:00;0;0;0
MUE;12.10.1967 00:00;0;0;0
MUE;13.10.1967 00:00;0;0;0
MUE;14.10.1967 00:00;0;0;0
MUE;15.10.1967 00:00;0;0;0
MUE;16.10.1967 00:00;0;0;0
MUE;17.10.1967 00:00;17.5;0;0
MUE;18.10.1967 00:00;0;0;0
MUE;19.10.1967 00:00;0;0;0
MUE;20.10.1967 00:00;0;0;0
MUE;21.10.1967 00:00;0;0;0
MUE;22.10.1967 00:00;0;0;0
MUE;23.10.1967 00:00;0;0;0
MUE;24.10.1967 00:00;0;0;0
MUE;25.10.1967 00:00;0;0;0
MUE;26.10.1967 00:00;0;0;0
MUE;27.10.1967 00:00;0;0;0
MUE;28.10.1967 00:00;5.6;6;0
MUE;29.10.1967 00:00;1;1;6
MUE;30.10.1967 00:00;0;0;3
MUE;31.10.1967 00:00;3.5;3;1
MUE;01.11.1967 00:00;2.6;0;3
MUE;02.11.1967 00:00;7.7;5;0
MUE;03.11.1967 00:00;0;0;5
MUE;04.11.1967 00:00;10;7;0
MUE;05.11.1967 00:00;0;0;7
MUE;06.11.1967 00:00;0;0;3
MUE;07.11.1967 00:00;0;0;0
MUE;08.11.1967 00:00;0;0;0
MUE;09.11.1967 00:00;0;0;0
MUE;10.11.1967 00:00;0;0;0
MUE;11.11.1967 00:00;5.3;0;0
MUE;12.11.1967 00:00;0;0;0
MUE;13.11.1967 00:00;0;0;0
MUE;14.11.1967 00:00;0;0;0
MUE;15.11.1967 00:00;0;0;0
MUE;16.11.1967 00:00;10.5;0;0
MUE;17.11.1967 00:00;1.2;0;0
MUE;18.11.1967 00:00;0;0;0
MUE;19.11.1967 00:00;0;0;0
MUE;20.11.1967 00:00;0;0;0
MUE;21.11.1967 00:00;0;0;0
MUE;22.11.1967 00:00;0;0;0
MUE;23.11.1967 00:00;0;0;0
MUE;24.11.1967 00:00;0;0;0
MUE;25.11.1967 00:00;0;0;0
MUE;26.11.1967 00:00;1.6;2;0
MUE;27.11.1967 00:00;8.2;8;2
MUE;28.11.1967 00:00;0;0;10
MUE;29.11.1967 00:00;2;2;4
MUE;30.11.1967 00:00;0;0;5
MUE;01.12.1967 00:00;0;0;3
MUE;02.12.1967 00:00;0;0;2
MUE;03.12.1967 00:00;0;0;0
MUE;04.12.1967 00:00;0;0;0
MUE;05.12.1967 00:00;0;0;0
MUE;06.12.1967 00:00;8.7;16;0
MUE;07.12.1967 00:00;8.5;12;16
MUE;08.12.1967 00:00;0.5;2;26
MUE;09.12.1967 00:00;0;0;19
MUE;10.12.1967 00:00;0;0;17
MUE;11.12.1967 00:00;0;0;13
MUE;12.12.1967 00:00;0;0;10
MUE;13.12.1967 00:00;0;0;5
MUE;14.12.1967 00:00;0;0;5
MUE;15.12.1967 00:00;0;0;4
MUE;16.12.1967 00:00;4;7;4
